ID	NER	label
gossipcop-1000240645	2	fake
gossipcop-1009248558	0	fake
gossipcop-1012123555	2	fake
gossipcop-1014616559	1	fake
gossipcop-1014636162	1	fake
gossipcop-1020220396	1	fake
gossipcop-1023576750	2	fake
gossipcop-1023869303	0	fake
gossipcop-1026488145	3	fake
gossipcop-1031800447	2	fake
gossipcop-1032468824	2	fake
gossipcop-1032664975	1	fake
gossipcop-1036952493	1	fake
gossipcop-1037841505	2	fake
gossipcop-1039751251	1	fake
gossipcop-1043854322	3	fake
gossipcop-1044110130	1	fake
gossipcop-10448753	3	fake
gossipcop-1046566535	3	fake
gossipcop-1049883569	4	fake
gossipcop-1051213706	2	fake
gossipcop-1051672830	2	fake
gossipcop-1052490641	2	fake
gossipcop-1053862865	1	fake
gossipcop-1055577574	1	fake
gossipcop-1063768757	1	fake
gossipcop-1064096338	3	fake
gossipcop-106514171	2	fake
gossipcop-1065734621	2	fake
gossipcop-1066426271	2	fake
gossipcop-1066850840	3	fake
gossipcop-1074471318	0	fake
gossipcop-1075873295	1	fake
gossipcop-108177076	2	fake
gossipcop-1084487702	1	fake
gossipcop-1086231022	1	fake
gossipcop-109358738	2	fake
gossipcop-109561633	1	fake
gossipcop-1099516198	2	fake
gossipcop-1103113292	3	fake
gossipcop-1103229113	4	fake
gossipcop-1105091447	3	fake
gossipcop-1107520962	4	fake
gossipcop-1108936720	4	fake
gossipcop-1115907121	4	fake
gossipcop-1120081991	2	fake
gossipcop-1120099314	4	fake
gossipcop-1126220623	1	fake
gossipcop-1126928115	2	fake
gossipcop-1127889925	2	fake
gossipcop-1132358492	1	fake
gossipcop-1134125875	2	fake
gossipcop-1134909578	2	fake
gossipcop-1138885480	5	fake
gossipcop-1143106542	1	fake
gossipcop-1143311659	2	fake
gossipcop-1146379778	1	fake
gossipcop-1151972925	3	fake
gossipcop-1154955596	3	fake
gossipcop-1156920900	3	fake
gossipcop-1156925967	2	fake
gossipcop-1167199618	3	fake
gossipcop-1170441384	4	fake
gossipcop-117212997	3	fake
gossipcop-1174330891	5	fake
gossipcop-1181298966	1	fake
gossipcop-1185219723	2	fake
gossipcop-1186645827	1	fake
gossipcop-1188213997	3	fake
gossipcop-1188816168	3	fake
gossipcop-1188990128	1	fake
gossipcop-1196788294	4	fake
gossipcop-1198146648	2	fake
gossipcop-12007541	2	fake
gossipcop-1202990527	1	fake
gossipcop-120348930	2	fake
gossipcop-1204805620	2	fake
gossipcop-121084045	1	fake
gossipcop-1211038093	5	fake
gossipcop-1211097930	3	fake
gossipcop-1212267256	2	fake
gossipcop-1216245722	0	fake
gossipcop-1216355292	3	fake
gossipcop-1220474761	2	fake
gossipcop-1220539977	0	fake
gossipcop-1225099614	1	fake
gossipcop-1229259214	1	fake
gossipcop-1230409750	2	fake
gossipcop-1232016858	3	fake
gossipcop-1237938606	1	fake
gossipcop-1239121151	2	fake
gossipcop-1239218320	3	fake
gossipcop-1241528475	2	fake
gossipcop-1242871756	1	fake
gossipcop-1244264367	4	fake
gossipcop-1247316129	1	fake
gossipcop-1247336364	3	fake
gossipcop-1249049450	4	fake
gossipcop-1251383153	2	fake
gossipcop-1252725097	2	fake
gossipcop-1258552214	4	fake
gossipcop-1260836518	2	fake
gossipcop-1264231750	4	fake
gossipcop-1266666545	1	fake
gossipcop-1267637959	2	fake
gossipcop-1271062242	1	fake
gossipcop-1277601040	4	fake
gossipcop-1284230032	1	fake
gossipcop-1287068479	1	fake
gossipcop-1288551520	1	fake
gossipcop-129245065	2	fake
gossipcop-1294448305	3	fake
gossipcop-12955535	2	fake
gossipcop-129798707	3	fake
gossipcop-1300270872	1	fake
gossipcop-1300529280	5	fake
gossipcop-1305114310	1	fake
gossipcop-1313702744	1	fake
gossipcop-1314470611	1	fake
gossipcop-1323742146	1	fake
gossipcop-1323947612	1	fake
gossipcop-1328152817	3	fake
gossipcop-1329261407	2	fake
