ID	mu_sentence	mu_verb_phrase	mu_noun_phrase	sd_sentence	sd_verb_phrase	sd_noun_phrase	iqr_sentence	iqr_verb_phrase	iqr_noun_phrase	num_verb_phrase	label
gossipcop-1000240645	6	0	3.75	0	0	0.82915619758885	0	0	1.25	1	fake
gossipcop-1009248558	9	5.5	3	0	0.5	0	0	0.5	0	2	fake
gossipcop-1012123555	10	6.5	4.285714285714286	0	0.5	2.050385727772475	0	0.5	1.5	2	fake
gossipcop-1014616559	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1014636162	8	4	4.333333333333333	0	0	1.8856180831641267	0	0	2	1	fake
gossipcop-1020220396	9	7	3.3333333333333335	0	0	0.4714045207910317	0	0	0.5	1	fake
gossipcop-1023576750	10	7	3.75	0	0	0.82915619758885	0	0	1.25	1	fake
gossipcop-1023869303	7	5	3	0	0	0	0	0	0	1	fake
gossipcop-1026488145	5	0	3.3333333333333335	0	0	0.4714045207910317	0	0	0.5	1	fake
gossipcop-1031800447	6	4	3	0	0	0	0	0	0	1	fake
gossipcop-1032468824	7	0	4	0	0	1.2649110640673518	0	0	2	1	fake
gossipcop-1032664975	7	0	4	0	0	1.224744871391589	0	0	1.5	1	fake
gossipcop-1036952493	8	4.5	5	0	0.5	2	0	0.5	2	2	fake
gossipcop-1037841505	9	5.5	4.25	0	0.5	2.165063509461097	0	0.5	1.25	2	fake
gossipcop-1039751251	9	5.333333333333333	3	0	1.247219128924647	0	0	1.5	0	3	fake
gossipcop-1043854322	9.5	7	3.8	3.5	3.082207001484488	1.6	3.5	5.5	0	4	fake
gossipcop-1044110130	7	0	3.3333333333333335	0	0	0.4714045207910317	0	0	0.5	1	fake
gossipcop-10448753	13	8	4.8	0	3.559026084010437	1.9390719429665317	0	4	3	3	fake
gossipcop-1046566535	11	7	4	0	2	1.6583123951777	0	2	1.25	2	fake
gossipcop-1049883569	8	5	3.2	0	0.7071067811865476	0.39999999999999997	0	0.5	0	4	fake
gossipcop-1051213706	8	5	3.75	0	0.816496580927726	1.0897247358851685	0	1	1.25	3	fake
gossipcop-1051672830	11	7.5	4.833333333333333	0	0.5	2.5440562537456244	0	0.5	2.5	2	fake
gossipcop-1052490641	7	5	3	0	0	0	0	0	0	1	fake
gossipcop-1053862865	10	5	4.75	0	2.160246899469287	1.7853571071357126	0	2.5	3.25	3	fake
gossipcop-1055577574	7	5	3.25	0	0	0.4330127018922193	0	0	0.25	1	fake
gossipcop-1063768757	8	5	3.3333333333333335	0	1	0.4714045207910317	0	1	0.5	2	fake
gossipcop-1064096338	9	7	3.5	0	0	0.7637626158259734	0	0	0.75	1	fake
gossipcop-106514171	8	6	3.25	0	0	0.4330127018922193	0	0	0.25	1	fake
gossipcop-1065734621	8	0	3.25	0	0	0.4330127018922193	0	0	0.25	1	fake
gossipcop-1066426271	8	6	3.5	0	0	0.8660254037844386	0	0	0.5	1	fake
gossipcop-1066850840	8	5.5	3.25	0	0.5	0.4330127018922193	0	0.5	0.25	2	fake
gossipcop-1074471318	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1075873295	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-108177076	9	5.5	3.5	0	1.5	0.8660254037844386	0	1.5	0.5	2	fake
gossipcop-1084487702	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1086231022	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-109358738	9	5.5	3	0	1.5	0	0	1.5	0	2	fake
gossipcop-109561633	6	0	3.6666666666666665	0	0	0.9428090415820634	0	0	1	1	fake
gossipcop-1099516198	7	0	3.5	0	0	0.8660254037844386	0	0	0.5	1	fake
gossipcop-1103113292	11	6.25	3.1666666666666665	0	1.920286436967152	0.3726779962499649	0	2.75	0	4	fake
gossipcop-1103229113	10	6	4	0	2	1.4142135623730951	0	2	1.5	2	fake
gossipcop-1105091447	10	7	3.4	0	1	0.8	0	1	0	2	fake
gossipcop-1107520962	8	6	3.7142857142857144	0	0	0.6998542122237652	0	0	1	1	fake
gossipcop-1108936720	13	7.5	3	0	2.29128784747792	0	0	3	0	4	fake
gossipcop-1115907121	11	7.5	4.166666666666667	0	1.5	1.8633899812498245	0	1.5	1.5	2	fake
gossipcop-1120081991	13	4	5.142857142857143	0	0.816496580927726	3.481730744843983	0	1	3	3	fake
gossipcop-1120099314	8.5	7.666666666666667	3	2.5	1.247219128924647	0	2.5	1.5	0	3	fake
gossipcop-1126220623	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1126928115	9	5	4	0	0	2	0	0	0	1	fake
gossipcop-1127889925	10	7	3.75	0	0	0.82915619758885	0	0	1.25	1	fake
gossipcop-1132358492	12	5	5	0	2	3.4641016151377544	0	2	2	2	fake
gossipcop-1134125875	13	6.2	4.333333333333333	0	2.925747767665559	1.8856180831641267	0	4	2	5	fake
gossipcop-1134909578	13	6	3.2857142857142856	0	0.816496580927726	0.6998542122237653	0	1	0	3	fake
gossipcop-1138885480	9	7	3.5	0	0	0.8660254037844386	0	0	0.5	1	fake
gossipcop-1143106542	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1143311659	9	5	3	0	0	0	0	0	0	1	fake
gossipcop-1146379778	7	0	4	0	0	1.224744871391589	0	0	1.5	1	fake
gossipcop-1151972925	7	4.25	3	0	0.4330127018922193	0	0	0.25	0	4	fake
gossipcop-1154955596	8	0	4.25	0	0	1.6393596310755	0	0	1.75	1	fake
gossipcop-1156920900	7	0	3.8	0	0	1.16619037896906	0	0	1	1	fake
gossipcop-1156925967	10	5.25	4.333333333333333	0	1.920286436967152	1.8856180831641267	0	2.75	2	4	fake
gossipcop-1167199618	7	4	4	2	0	1.4142135623730951	2	0	1.5	1	fake
gossipcop-1170441384	9	5.333333333333333	3.2	0	0.4714045207910317	0.39999999999999997	0	0.5	0	3	fake
gossipcop-117212997	8	0	4	0	0	1.5	0	0	1.5	1	fake
gossipcop-1174330891	13	7.4	3.2	0	2.5768197453450252	0.39999999999999997	0	4	0	5	fake
gossipcop-1181298966	9	0	4.6	0	0	2.0591260281974	0	0	3	1	fake
gossipcop-1185219723	9	4.666666666666667	3.6	0	1.247219128924647	0.8	0	1.5	1	3	fake
gossipcop-1186645827	8	0	4.166666666666667	0	0	1.462494064565354	0	0	1.75	1	fake
gossipcop-1188213997	12	6.25	4.2	0	2.277608394786075	2.4000000000000004	0	2.25	0	4	fake
gossipcop-1188816168	9	7	3.5	0	0	0.7071067811865476	0	0	1	1	fake
gossipcop-1188990128	7	5	3	0	0	0	0	0	0	1	fake
gossipcop-1196788294	8	0	3.5	0	0	0.8660254037844386	0	0	0.5	1	fake
gossipcop-1198146648	13	9	4.285714285714286	0	2	2.4327694808466287	0	2	1	2	fake
gossipcop-12007541	8	4.5	4.333333333333333	0	0.5	1.8856180831641267	0	0.5	2	2	fake
gossipcop-1202990527	7	4	4	0	0	1.4142135623730951	0	0	1.5	1	fake
gossipcop-120348930	9	0	5	0	0	2.0976176963403033	0	0	4	1	fake
gossipcop-1204805620	7	0	4	0	0	1.224744871391589	0	0	1.5	1	fake
gossipcop-121084045	7	5	3	0	0	0	0	0	0	1	fake
gossipcop-1211038093	10	6.5	3.2	0	0.5	0.39999999999999997	0	0.5	0	2	fake
gossipcop-1211097930	17	8.666666666666666	3	0	4.422166387140534	0	0	7.5	0	6	fake
gossipcop-1212267256	10	7.5	3.5	0	0.5	0.8660254037844386	0	0.5	0.5	2	fake
gossipcop-1216245722	11	6.5	4	0	2.5	1.7728105208558367	0	2.5	1	2	fake
gossipcop-1216355292	11	6	3.4	0	1.5811388300841898	0.8	0	2.5	0	4	fake
gossipcop-1220474761	7	5	3	0	0	0	0	0	0	1	fake
gossipcop-1220539977	7	0	3.8333333333333335	0	0	1.2133516482134197	0	0	1.5	1	fake
gossipcop-1225099614	5	0	3	0	0	0	0	0	0	1	fake
gossipcop-1229259214	9	4.5	4.2	0	1.5	1.9390719429665317	0	1.5	1	2	fake
gossipcop-1230409750	11	9	3.4	0	0	0.8	0	0	0	1	fake
gossipcop-1232016858	7	4.333333333333333	3.1666666666666665	1	1.247219128924647	0.3726779962499649	1	1.5	0	3	fake
gossipcop-1237938606	7	5	3.5	0	0	0.5	0	0	0.5	1	fake
gossipcop-1239121151	7	3	4	0	0	1.2649110640673518	0	0	2	1	fake
gossipcop-1239218320	12	7.5	3	0	1.8027756377319946	0	0	2	0	4	fake
gossipcop-1241528475	7	5	3.75	0	0	1.299038105676658	0	0	0.75	1	fake
gossipcop-1242871756	5	0	3.5	0	0	0.5	0	0	0.5	1	fake
gossipcop-1244264367	9	7	3.4	0	0	0.8	0	0	0	1	fake
gossipcop-1247316129	4	0	3	0	0	0	0	0	0	1	fake
gossipcop-1247336364	10	5.5	4.5	0	0.5	2.598076211353316	0	0.5	1.5	2	fake
gossipcop-1249049450	11	7.5	3.3333333333333335	0	1.5	0.7453559924999298	0	1.5	0	2	fake
gossipcop-1251383153	6	0	3.75	0	0	0.82915619758885	0	0	1.25	1	fake
gossipcop-1252725097	6	3	3.3333333333333335	0	0	0.4714045207910317	0	0	0.5	1	fake
gossipcop-1258552214	6	4	3	0	0	0	0	0	0	1	fake
gossipcop-1260836518	6.5	4	3	0.5	0	0	0.5	0	0	1	fake
gossipcop-1264231750	11	5.5	4.857142857142857	0	2.29128784747792	2.531435020952764	0	3	3	4	fake
gossipcop-1266666545	8	5	3	0	1	0	0	1	0	2	fake
