ID	NER	label
gossipcop-1000240645	14	fake
gossipcop-1009248558	128	fake
gossipcop-1012123555	58	fake
gossipcop-1014616559	1356	fake
gossipcop-1014636162	14	fake
gossipcop-1020220396	19	fake
gossipcop-1023576750	185	fake
gossipcop-1023869303	51	fake
gossipcop-1026488145	39	fake
gossipcop-1031800447	54	fake
gossipcop-1032468824	29	fake
gossipcop-1032664975	66	fake
gossipcop-1036952493	1147	fake
gossipcop-1037841505	8	fake
gossipcop-1039751251	6	fake
gossipcop-1043854322	108	fake
gossipcop-1044110130	68	fake
gossipcop-10448753	73	fake
gossipcop-1046566535	83	fake
gossipcop-1049883569	156	fake
gossipcop-1051213706	17	fake
gossipcop-1051672830	62	fake
gossipcop-1052490641	14	fake
gossipcop-1053862865	71	fake
gossipcop-1063768757	32	fake
gossipcop-1064096338	115	fake
gossipcop-106514171	32	fake
gossipcop-1065734621	2	fake
gossipcop-1066426271	33	fake
gossipcop-1066850840	74	fake
gossipcop-1075873295	85	fake
gossipcop-108177076	13	fake
gossipcop-1084487702	91	fake
gossipcop-1086231022	411	fake
gossipcop-109358738	165	fake
gossipcop-109561633	453	fake
gossipcop-1099516198	240	fake
gossipcop-1103113292	50	fake
gossipcop-1103229113	101	fake
gossipcop-1105091447	25	fake
gossipcop-1107520962	24	fake
gossipcop-1108936720	173	fake
gossipcop-1115907121	63	fake
gossipcop-1120081991	149	fake
gossipcop-1120099314	71	fake
gossipcop-1126220623	1063	fake
gossipcop-1126928115	47	fake
gossipcop-1127889925	185	fake
gossipcop-1132358492	92	fake
gossipcop-1134125875	56	fake
gossipcop-1134909578	66	fake
gossipcop-1138885480	45	fake
gossipcop-1143311659	90	fake
gossipcop-1146379778	390	fake
gossipcop-1151972925	22	fake
gossipcop-1154955596	124	fake
gossipcop-1156920900	1013	fake
gossipcop-1156925967	11	fake
gossipcop-1170441384	57	fake
gossipcop-117212997	139	fake
gossipcop-1174330891	107	fake
gossipcop-1181298966	75	fake
gossipcop-1185219723	25	fake
gossipcop-1186645827	10	fake
gossipcop-1188213997	32	fake
gossipcop-1188816168	40	fake
gossipcop-1188990128	40	fake
gossipcop-1196788294	72	fake
gossipcop-1198146648	82	fake
gossipcop-12007541	56	fake
gossipcop-1202990527	51	fake
gossipcop-120348930	66	fake
gossipcop-1204805620	168	fake
gossipcop-121084045	30	fake
gossipcop-1211038093	41	fake
gossipcop-1211097930	91	fake
gossipcop-1212267256	94	fake
gossipcop-1216245722	44	fake
gossipcop-1216355292	77	fake
gossipcop-1220474761	48	fake
gossipcop-1220539977	0	fake
gossipcop-1225099614	7	fake
gossipcop-1229259214	1145	fake
gossipcop-1230409750	22	fake
gossipcop-1232016858	65	fake
gossipcop-1237938606	66	fake
gossipcop-1239121151	47	fake
gossipcop-1239218320	83	fake
gossipcop-1241528475	55	fake
gossipcop-1242871756	17	fake
gossipcop-1244264367	20	fake
gossipcop-1247316129	241	fake
gossipcop-1247336364	57	fake
gossipcop-1249049450	19	fake
gossipcop-1251383153	148	fake
gossipcop-1252725097	37	fake
gossipcop-1258552214	85	fake
gossipcop-1260836518	60	fake
gossipcop-1264231750	2	fake
gossipcop-1266666545	262	fake
gossipcop-1267637959	34	fake
gossipcop-1271062242	2059	fake
gossipcop-1277601040	83	fake
gossipcop-1284230032	62	fake
gossipcop-1287068479	83	fake
gossipcop-1288551520	91	fake
gossipcop-129245065	40	fake
gossipcop-1294448305	220	fake
gossipcop-12955535	33	fake
gossipcop-129798707	306	fake
gossipcop-1300270872	8	fake
gossipcop-1300529280	17	fake
gossipcop-1305114310	36	fake
gossipcop-1313702744	551	fake
gossipcop-1314470611	20	fake
gossipcop-1323742146	18	fake
gossipcop-1323947612	39	fake
gossipcop-1328152817	21	fake
gossipcop-1329261407	234	fake
gossipcop-1333002237	58	fake
gossipcop-1336256939	74	fake
gossipcop-1339876563	82	fake
gossipcop-1344406228	142	fake
gossipcop-1360722071	551	fake
gossipcop-1361315567	73	fake
gossipcop-1361560822	32	fake
gossipcop-1365192937	71	fake
gossipcop-1366889953	146	fake
gossipcop-1369150512	53	fake
gossipcop-1369804075	15	fake
gossipcop-13736481	242	fake
gossipcop-1375570271	21	fake
gossipcop-1380587821	32	fake
gossipcop-1380729469	413	fake
gossipcop-1381944265	30	fake
gossipcop-1385937069	377	fake
gossipcop-1386564222	72	fake
gossipcop-1391794235	286	fake
gossipcop-1393324921	84	fake
gossipcop-1394099574	102	fake
gossipcop-1398125520	87	fake
gossipcop-1398282945	196	fake
gossipcop-1398529432	63	fake
gossipcop-1399234045	9	fake
gossipcop-1402129558	64	fake
gossipcop-140849966	42	fake
gossipcop-1409790969	59	fake
gossipcop-1410407190	21	fake
gossipcop-1410900558	121	fake
gossipcop-1413519098	62	fake
gossipcop-1414621205	4	fake
gossipcop-1416257068	57	fake
gossipcop-1418105606	12	fake
gossipcop-141965938	52	fake
gossipcop-1424848077	10	fake
gossipcop-1432833690	18	fake
gossipcop-1433840923	35	fake
gossipcop-1434380198	58	fake
gossipcop-1440280874	2	fake
gossipcop-1442274618	66	fake
gossipcop-1445432909	21	fake
gossipcop-1448464423	55	fake
gossipcop-1448667119	48	fake
gossipcop-1450195626	45	fake
gossipcop-1454304840	63	fake
gossipcop-1455024839	48	fake
gossipcop-1457904080	2	fake
gossipcop-1462766857	66	fake
gossipcop-1463233478	9	fake
gossipcop-1470939687	56	fake
gossipcop-1472949555	85	fake
gossipcop-1473113094	82	fake
gossipcop-1474948818	57	fake
gossipcop-1475623156	2	fake
gossipcop-1477811185	17	fake
gossipcop-1485355129	379	fake
gossipcop-1488759008	65	fake
gossipcop-1494351955	93	fake
gossipcop-1495995782	67	fake
gossipcop-1497308886	236	fake
gossipcop-1498338899	33	fake
gossipcop-1500371630	294	fake
gossipcop-1501322357	33	fake
gossipcop-1505670647	37	fake
gossipcop-1509983640	21	fake
gossipcop-1515227891	14	fake
gossipcop-1517816546	97	fake
gossipcop-1518320128	0	fake
gossipcop-1525600180	102	fake
gossipcop-1526103103	29	fake
gossipcop-152704263	65	fake
gossipcop-1527288531	11	fake
gossipcop-1529722227	103	fake
gossipcop-1532318228	69	fake
gossipcop-1533690826	16	fake
gossipcop-1535895023	39	fake
gossipcop-1536008610	37	fake
gossipcop-1537399397	61	fake
gossipcop-1537867221	568	fake
gossipcop-1539005641	23	fake
gossipcop-1541245230	19	fake
gossipcop-1544238959	60	fake
gossipcop-1546564922	63	fake
gossipcop-1548429285	22	fake
gossipcop-1549735722	78	fake
gossipcop-1550362715	357	fake
gossipcop-155150728	34	fake
gossipcop-1552405208	81	fake
gossipcop-1555796015	63	fake
gossipcop-1558798692	103	fake
gossipcop-1563620722	6	fake
gossipcop-1568004340	317	fake
gossipcop-157100313	111	fake
gossipcop-1574020431	39	fake
gossipcop-1577558126	84	fake
gossipcop-1578034404	21	fake
gossipcop-157955109	14	fake
gossipcop-1581337290	75	fake
gossipcop-158160541	24	fake
gossipcop-1583787323	46	fake
gossipcop-1587930811	67	fake
gossipcop-1589096459	77	fake
gossipcop-1589416456	70	fake
gossipcop-1594116936	31	fake
gossipcop-1594778479	120	fake
gossipcop-1595769865	71	fake
gossipcop-1601939859	89	fake
gossipcop-1601965602	49	fake
gossipcop-1603093548	135	fake
gossipcop-1603768996	66	fake
gossipcop-1605279754	25	fake
gossipcop-1606507932	24	fake
gossipcop-1608650114	185	fake
gossipcop-1609349373	20	fake
gossipcop-1612763066	30	fake
gossipcop-1613202366	5	fake
gossipcop-1614963098	151	fake
gossipcop-1615677123	0	fake
gossipcop-1619644929	102	fake
gossipcop-162455960	0	fake
gossipcop-1625086607	48	fake
gossipcop-1628359937	41	fake
gossipcop-1628848955	0	fake
gossipcop-1631688673	32	fake
gossipcop-1634815619	65	fake
gossipcop-1635033289	72	fake
gossipcop-1636531105	44	fake
gossipcop-1637698980	42	fake
gossipcop-1639098685	37	fake
gossipcop-1640600260	520	fake
gossipcop-1641350619	71	fake
gossipcop-1648328243	41	fake
gossipcop-1655240353	19	fake
gossipcop-1655879516	15	fake
gossipcop-1656652339	8	fake
gossipcop-1658391416	4	fake
gossipcop-165933944	13	fake
gossipcop-1659503489	61	fake
gossipcop-166090243	38	fake
gossipcop-1669042987	41	fake
gossipcop-1669955471	83	fake
gossipcop-1670898356	129	fake
gossipcop-1674483293	25	fake
gossipcop-1675667628	86	fake
gossipcop-1679060929	273	fake
gossipcop-1680459589	42	fake
gossipcop-1680756957	61	fake
gossipcop-168175528	109	fake
gossipcop-1685663261	96	fake
gossipcop-1686501961	312	fake
gossipcop-1689421323	13	fake
gossipcop-1691783074	220	fake
gossipcop-1692898142	18	fake
gossipcop-1694904591	44	fake
gossipcop-1695932627	31	fake
gossipcop-1698175515	57	fake
gossipcop-1698913031	22	fake
gossipcop-1698969036	14	fake
gossipcop-1699548247	57	fake
gossipcop-1700268836	69	fake
gossipcop-1700296100	78	fake
gossipcop-1704742043	200	fake
gossipcop-1705101669	193	fake
gossipcop-1708638493	81	fake
gossipcop-1711630759	122	fake
gossipcop-1712346836	22	fake
gossipcop-1714394663	62	fake
gossipcop-1716370499	308	fake
gossipcop-1716950828	13	fake
gossipcop-1718137654	45	fake
gossipcop-1720994729	132	fake
gossipcop-1722053022	105	fake
gossipcop-1725178626	63	fake
gossipcop-1732632475	75	fake
gossipcop-173381532	148	fake
gossipcop-1738357324	59	fake
gossipcop-1743922880	174	fake
gossipcop-174523171	212	fake
gossipcop-1745549479	16	fake
gossipcop-1748893181	70	fake
gossipcop-1749251349	66	fake
gossipcop-174999294	37	fake
gossipcop-1753721453	5	fake
gossipcop-1755779346	143	fake
gossipcop-1757374802	180	fake
gossipcop-1760401680	126	fake
gossipcop-1760479830	58	fake
gossipcop-1761311625	21	fake
gossipcop-1768508809	26	fake
gossipcop-1769520881	143	fake
gossipcop-1770549032	125	fake
gossipcop-1773639736	74	fake
gossipcop-1778809739	39	fake
gossipcop-178000221	199	fake
gossipcop-1783115695	85	fake
gossipcop-1783331592	56	fake
gossipcop-1783348927	14	fake
gossipcop-1784520868	75	fake
gossipcop-1788272839	100	fake
gossipcop-179256935	112	fake
gossipcop-1793704698	256	fake
gossipcop-1794650088	93	fake
gossipcop-1797789619	83	fake
gossipcop-1799327317	49	fake
gossipcop-1801530199	29	fake
gossipcop-1806451551	3	fake
gossipcop-1810948294	25	fake
gossipcop-1811064392	39	fake
gossipcop-1812006033	24	fake
gossipcop-1812612510	48	fake
gossipcop-1813624081	43	fake
gossipcop-181752125	44	fake
gossipcop-1818759378	49	fake
gossipcop-1819145958	0	fake
gossipcop-182239906	166	fake
gossipcop-1823945424	53	fake
gossipcop-1828135129	77	fake
gossipcop-1832654937	1	fake
gossipcop-1834960333	82	fake
gossipcop-1836619930	32	fake
gossipcop-1843377871	32	fake
gossipcop-1843695308	8	fake
gossipcop-185105069	41	fake
gossipcop-1852746781	219	fake
gossipcop-1858381621	37	fake
gossipcop-1858824870	64	fake
gossipcop-1859502594	31	fake
gossipcop-1860207757	80	fake
gossipcop-1864911369	2	fake
gossipcop-1867462484	9	fake
gossipcop-1871620468	23	fake
gossipcop-1877431797	118	fake
gossipcop-1883356669	67	fake
gossipcop-1885887731	161	fake
gossipcop-1888291843	19	fake
gossipcop-189024222	1	fake
gossipcop-1893175436	47	fake
gossipcop-1897931921	19	fake
gossipcop-1901912137	47	fake
gossipcop-1903074961	3	fake
gossipcop-1904248445	2207	fake
gossipcop-190525100	88	fake
gossipcop-1905729180	60	fake
gossipcop-1908732473	112	fake
gossipcop-1909076702	88	fake
gossipcop-191156688	22	fake
gossipcop-1914781905	53	fake
gossipcop-1916002518	104	fake
gossipcop-1917210346	48	fake
gossipcop-1919418708	85	fake
gossipcop-1920823190	50	fake
gossipcop-1928968897	31	fake
gossipcop-1929736766	147	fake
gossipcop-1934036410	25	fake
gossipcop-1942196966	69	fake
gossipcop-1945469340	9	fake
gossipcop-1946072246	8	fake
gossipcop-1949850843	161	fake
gossipcop-1950567758	155	fake
gossipcop-1951916011	73	fake
gossipcop-1954191714	227	fake
gossipcop-1954289539	8	fake
gossipcop-1955766846	85	fake
gossipcop-1959268734	217	fake
gossipcop-1960059295	170	fake
gossipcop-1968675605	88	fake
gossipcop-197053823	33	fake
gossipcop-1975320125	26	fake
gossipcop-1976997309	19	fake
gossipcop-1977287307	1633	fake
gossipcop-1979287389	17	fake
gossipcop-1985203952	18	fake
gossipcop-1985988712	18	fake
gossipcop-1987636422	23	fake
gossipcop-1992584375	55	fake
gossipcop-1994380875	58	fake
gossipcop-1995680109	90	fake
